page_num,entry_id,registration_date_and_plan_ref,property_description,date_of_lease_and_term,lessees_title,notes
13,49,02.05.2007,13 Sheringham (Third Floor Flat) and garage 9,23.03.2007 From 23.3.2007 to 21.11.2174,NGL879751,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,50,02.05.2007,33 Walsingham (Ground Floor Flat) and garage 57,21.03.2007 From 21.3.2007 to 21.11.2174,NGL879752,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,51,02.05.2007,6 Sheringham (First Floor Flat),16.04.2007 From 16.4.2007 to 21.11.2174,NGL879721,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,52,02.05.2007,64 Sheringham (Seventh Floor Flat),23.03.2007 From 23.3.2007 to 21.11.2174,NGL879720,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,53,02.05.2007,19 Walsingham (Fourth Floor Flat) and garage 51,16.04.2007 From 16.4.2007 to 21.11.2174,NGL879724,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,54,02.05.2007,15 Wymondham (Third Floor Flat) and garage 24,16.04.2007 From 16.4.2007 to 21.11.2174,NGL879723,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,55,03.05.2007,15 Walsingham (Third Floor Flat),16.04.2007 from 16.4.2007 to 21.11.2174,NGL879795,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban development Act 1993']"
13,56,03.05.2007,41 Walsingham (Second Floor Flat),23.03.2007 from 23.3.2007 to 21.11.2174,NGL879803,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,57,03.05.2007,39 Walsingham (Second Floor Flat),16.04.2007 from 16.4.2007 to 21.11.2174,NGL879805,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,58,03.05.2007,83 Walsingham (Tenth Floor Flat),23.03.2007 from 23.3.2007 to 21.11.2174,NGL879802,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,59,03.05.2007,13 Wymondham (Third Floor Flat),26.03.2007 from 26.3.2007 to 21.11.2174,NGL879796,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,60,03.05.2007,56 Walsingham (Fifth Floor Flat),10.04.2007 from 10.4.2007 to 21.11.2174,NGL879797,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,61,03.05.2007,62 Walsingham (Sixth Floor Flat),23.03.2007 From 23.3.2007 to 21.11.2174,NGL879827,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,62,03.05.2007,17 Walsingham (Fourth Floor Flat) and garage 65,16.04.2007 From 16.4.2007 to 21.11.2174,NGL879823,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,63,03.05.2007,11 Sheringham (Second Floor Flat) and garage 111,10.04.2007 From 10.4.2007 to 21.11.2174,NGL879824,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,64,03.05.2007,54 Sheringham (Fifth Floor Flat) and garage 21,26.03.2007 From 26.3.2007 to 21.11.2174,NGL879835,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,65,04.05.2007,76 Sheringham and Garages 17 and 18 (Ninth Floor Flat),10.04.2007 From 10.4.2007 to 21.11.2174,NGL879897,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,66,04.05.2007,70 Sheringham (Eighth Floor Flat),21.03.2007 From 21.3.2007 to 21.11.2174,NGL879902,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,67,04.05.2007,22 Sheringham and Garage 2 (Fifth Floor Flat),21.03.2007 From 21.3.2007 to 21.11.2174,NGL879900,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,68,04.05.2007,46 Walsingham and Garage 64 (Third Floor Flat) to 21.11.2174,21.03.2007 From 21.3.2007,NGL879904,
13,69,15.05.2007,80 Sheringham (Tenth Floor Flat),24.04.2007 From 24.4.2007 to 21.11.2174,NGL880665,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,70,15.05.2007,73 Sheringham (Eighth Floor Flat),24.04.2007 From 24.4.2007 to 21.11.2174,NGL880666,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,71,15.05.2007,69 Sheringham (Eighth Floor Flat) and Garage 63,24.04.2007 From 24.4.2007 to 21.11.2174,NGL880658,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,72,15.05.2007,75 Sheringham (Ninth Floor Flat) and Garages 15 and 16,24.04.2007 From 24.4.2007 to 21.11.2174,NGL880655,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,73,15.05.2007,71 Sheringham (Eighth Floor Flat) and Garage 27,24.04.2007 From 24.4.2007 to 21.11.2174,NGL880661,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
