page_num,entry_id,registration_date_and_plan_ref,property_description,date_of_lease_and_term,lessees_title,notes
0,1,28.01.2009 tinted blue (part of),Transformer Chamber (Ground Floor),23.01.2009 99 years from 23.1.2009,EGL551039,
0,2,09.07.2009 Edged and numbered 2 in blue (part of),"Endeavour House, 47 Cuba Street, London",06.07.2009 125 years from 1.1.2009,EGL557357,
0,3,25.09.2009 Edged and numbered 3 in blue (part of),"Mayflower House, Westferry Road, London",10.09.2009 125 years from 1.1.2009,EGL560877,
0,4,16.12.2009 Edged and numbered 4 in blue (part of),"Flat 1602, Landmark West Tower(sixteenth floor)",12.11.2009 999 years from 1.1.2009,EGL565026,
0,5,17.12.2009 Edged and numbered 4 in blue (part of),"Flat  207, Landmark West Tower (second floor flat)",01.12.2009 999 years from 1.1.2009,EGL565086,
0,6,17.12.2009 Edged and numbered 4 in blue (part of),"Flat 704, Landmark West Tower (seventh floor flat)",04.12.2009 999 years from 1.1.2009,EGL565089,
0,7,18.12.2009 Edged and numbered 4 in blue (part of),Flat 2207 Landmark West Tower (twenty second floor flat),01.12.2009 999 years from 1.1.2009,EGL565182,
0,8,23.12.2009 Edged and numbered 4 in blue (part of),Flat 1201 Landmark West Tower (twelfth floor flat),01.12.2009 999 years from 1.1.2009,EGL565292,
0,9,23.12.2009 Edged and numbered 4 in blue (part of),Flat 403 Landmark West Tower (fourth floor flat),27.11.2009 999 years from 1.1.2009,EGL565293,
0,10,05.01.2010 Edged and numbered 4 in blue (part of),Flat 1105 Landmark West Tower (eleventh floor flat),01.12.2009 999 years from 1.1.2009,EGL565470,
0,11,06.01.2010 Edged and numbered 4 in blue (part of),Flat 1019 Landmark West Tower (tenth floor flat),02.12.2009 999 years from 1.1.2009,EGL565616,
0,12,08.01.2010 Edged and numbered 4 in blue (part of),Flat 203 Landmark West Tower (second floor flat),09.12.2009 999 years from 1.1.2009,EGL565645,
0,13,08.01.2010 Edged and numbered 6 in blue on supplementary plan 1,Parking Space 80 Landmark West Tower (basement level),12.11.2009 999 years from 1.1.2009,EGL565724,
0,14,08.01.2010 Edged and numbered 7 in blue on supplementary plan 1,Parking Space 81 Landmark West Tower (basement level),12.11.2009 999 years from 1.1.2009,EGL565725,
0,15,11.01.2010 Edged and numbered 4 in blue (part of),Flat 808 Landmark West Tower (eighth floor flat),27.11.2009 999 years from 1.1.2009,EGL565765,
0,16,12.01.2010 Edged and numbered 4 in blue (part of),Flat 604 Landmark West Tower (sixth floor flat),30.10.2009 999 years from 1.1.2009,EGL565856,
0,17,12.01.2010 Edged and numbered 4 in blue (part of),Flat 603 Landmark West Tower (sixth floor flat),30.10.2009 999 years from 1.1.2009,EGL565866,
0,18,13.01.2010 Edged and numbered 4 in blue (part of),Flat 1801 Landmark West Tower (eighteenth floor flat),22.12.2009 999 years from 1.1.2009,EGL565967,
0,19,15.01.2010 Edged and numbered 4 in blue (part of),Flat 1403 Landmark West Tower (fourteenth floor flat),04.12.2009 999 years from 1.1.2009,EGL566147,
0,20,15.01.2010 Edged and numbered 8 in blue on supplementary plan 1,Parking Space 24 Landmark West Tower (basement level),04.12.2009 999 years from 1.1.2009,EGL566155,
0,21,18.01.2010 Edged and numbered 4 in blue (part of),Flat 1301 Landmark West Tower (thirteenth floor flat),07.12.2009 999 years from 1.1.2009,EGL566221,
0,22,18.01.2010 Edged and numbered 4 in blue (part of),Flat 1205 Landmark West Tower (twelfth floor flat),01.12.2009 999 years from 1.1.2009,EGL566227,
0,23,18.01.2010 Edged and numbered 9 in blue on supplementary plan 1,Parking Space 27 Landmark West Tower (basement level),07.12.2009 999 years from 1.1.2009,EGL566222,
0,24,18.01.2010 Edged and numbered 10 in blue on supplementary plan 1,Parking Space 89 Landmark West Tower (basement level),01.12.2009 999 years from 1.1.2009,EGL566228,
0,25,18.01.2010 Edged and numbered 4 in blue (part of),Flat 2208 Landmark West Tower (twenty-second floor flat),23.12.2009 999 years from 1.1.2009,EGL566229,
0,26,18.01.2010 Edged and numbered 4 in blue (part of),Flat 1805 Landmark West Tower (eighteenth floor flat),07.12.2009 999 years from 1.1.2009,EGL566231,
0,27,18.01.2010 Edged and numbered 4 in blue (part of),Flat 506 Landmark West Tower (fifth floor flat),22.12.2009 999 years from 1.1.2009,EGL566234,
0,28,18.01.2010 Edged and numbered 4 in blue (part of),Flat 2807 Landmark West Tower (twenty-eighth floor flat),21.12.2009 999 years from 1.1.2009,EGL566236,
0,29,21.01.2010 Edged and numbered 4 in blue (part of),Flat 910 Landmark West Tower (ninth floor flat),11.12.2009 999 years from 1.1.2009,EGL566485,
0,30,21.01.2010 Edged and numbered 4 in blue (part of),Flat 210 Landmark West Tower (second floor flat),18.12.2009 999 years from 1.1.2009,EGL566491,
0,31,21.01.2010 Edged and numbered 4 in blue (part of),Flat 1202 Landmark West Tower (twelfth floor flat),07.12.2009 999 years from 1.1.2009,EGL566497,
0,32,22.01.2010 Edged and numbered 4 in blue (part of),Flat 2004 Landmark West Tower (twentieth floor flat),23.12.2009 999 years from 1.1.2009,EGL566571,
0,33,22.01.2010 Edged and numbered 11 in blue,Parking Space 21 Landmark West Tower (basement level),23.12.2009 999 years from 1.1.2009,EGL566572,
0,34,22.01.2010 Edged and numbered 4 in blue (part of),Flat 1002 Landmark West Tower (tenth floor flat),22.12.2009 999 years from 1.1.2009,EGL566573,
0,35,25.01.2010 Edged and numbered 4 in blue (part of),Flat 2005 Landmark West Tower (twentieth floor flat),11.01.2010 999 years from 1.1.2009,EGL566661,
0,36,25.01.2010 Edged and numbered 4 in blue (part of),Flat 1001 Landmark West Tower (tenth floor flat),05.01.2010 999 years from 1.1.2009,EGL566670,
0,37,27.01.2010 Edged and numbered 4 in blue (part of),Flat 1408 Landmark West Tower (fourteenth floor flat),05.01.2010 999 years from 1.1.2009,EGL566759,
0,38,28.01.2010 Edged and numbered 4 in blue (part of),Flat 807 Landmark West Tower (eighth floor flat),11.12.2009 999 years from 1.1.2009,EGL566885,
0,39,28.01.2010 Edged and numbered 4 in blue (part of),Flat 1106 Landmark West Tower (eleventh floor flat),03.12.2009 999 years from 1.1.2009,EGL566893,
0,40,29.01.2010 Edged and numbered 4 in blue (part of),Flat 2602 Landmark West Tower (twenty sixth floor flat),23.12.2009 999 years from 1.1.2009,EGL566948,
0,41,29.01.2010 Edged and numbered 12 in blue on the supplementary plan,Parking Space 94 Landmark West Tower (basement level),23.12.2009 999 years from 1.1.2009,EGL566949,
0,42,29.01.2010 Edged and numbered 4 in blue (part of),Flat 406 Landmark West Tower (fourth floor flat),18.12.2009 999 years from 1.1.2009,EGL566976,
0,43,29.01.2010 Edged and numbered 13 in blue,Parking Space 68 Landmark West Tower (basement level),18.12.2009 999 years from 1.1.2009,EGL566977,
0,44,01.02.2010 Edged and numbered 4 in blue (part of),Flat 1903 Landmark West Tower (nineteenth floor flat),17.12.2009 999 years from 1.1.2009,EGL567027,
0,45,01.02.2010 Edged and numbered 4 in blue (part of),Flat 1311 Landmark West Tower (thirteenth floor flat),05.01.2010 999 years from 1.1.2009,EGL567028,
0,46,01.02.2010 Edged and numbered 4 in blue (part of),Flat 511 Landmark West Tower (fifth floor flat),23.12.2009 999 years from 1.1.2009,EGL567029,
0,47,02.02.2010 Edged and numbered 4 in blue (part of),Flat 208 Landmark West Tower (second floor flat),08.01.2010 999 years from 1.1.2009,EGL567140,
0,48,03.02.2010 Edged and numbered 4 in blue (part of),Flat 1103 Landmark West Tower (eleventh floor flat),13.01.2010 999 years from 1.1.2009,EGL567217,
0,49,03.02.2010 Edged and numbered 4 in blue (part of),Flat 2304 Landmark West Tower (twenty third floor flat),20.11.2009 999 years from 1.1.2009,EGL567254,
0,50,04.02.2010 Edged and numbered 4 in blue (part of),Flat 1308 Landmark West Tower (thirteenth floor flat),12.01.2010 999 years from 1.1.2009,EGL567339,
0,51,04.02.2010 Edged and numbered 4 in blue (part of),Flat 1409 Landmark West Tower (fourteenth floor flat),03.12.2009 999 years from 1.1.2009,EGL567362,
0,52,04.02.2010 Edged and numbered 4 in blue (part of),Flat 1401 Landmark West Tower (fourteenth floor flat),03.12.2009 999 years from 1.1.2009,EGL567404,
0,53,05.02.2010 Edged and numbered 4 in blue (part of),Flat 1108 Landmark West Tower (eleventh floor flat),20.01.2010 999 years from 1.1.2009,EGL567463,
0,54,05.02.2010 Edged and numbered 4 in blue (part of),Flat 802 Landmark West Tower (eighth floor flat),07.01.2010 999 years from 1.1.2009,EGL567464,
0,55,05.02.2010 Edged and numbered 4 in blue (part of),Flat 803 Landmark West Tower (eighth floor flat),08.01.2010 999 years from 1.1.2009,EGL567465,
0,56,08.02.2010 Edged and numbered 4 in blue (part of),Flat 2103 Landmark West Tower (twenty-first floor flat),12.01.2010 999 years from 1.1.2009,EGL567543,
0,57,09.02.2010 Edged and numbered 4 in blue (part of),Flat 2209 Landmark West Tower (twenty-second floor flat),22.01.2010 999 years from 1.1.2009,EGL567583,
0,58,09.02.2010 Edged and numbered 4 in blue (part of),Flat 1109 Landmark West Tower (eleventh floor flat),22.01.2010 999 years from 1.1.2009,EGL567585,
0,59,09.02.2010 Edged and numbered 4 in blue (part of),Flat 2202 Landmark West Tower (twenty-second floor flat),05.01.2010 999 years from 1.1.2009,EGL567606,
0,60,09.02.2010 Edged and numbered 4 in blue (part of),Flat 2007 Landmark West Tower (twentieth floor),07.01.2010 999 years from 1.1.2009,EGL567607,
0,61,09.02.2010 Edged and numbered 4 in blue (part of),Flat 2008 Landmark West Tower (twentieth floor flat),07.01.2010 999 years from 1.1.2009,EGL567609,
0,62,09.02.2010 Edged and numbered 4 in blue (part of),Flat 2009 Landmark West Tower (twentieth floor flat),07.01.2010 999 years from 1.1.2009,EGL567610,
0,63,09.02.2010 Edged and numbered 4 in blue (part of),Flat 1910 Landmark West Tower (nineteenth floor flat),23.12.2009 999 years from 1.1.2009,EGL567613,
0,64,09.02.2010 Edged and numbered 4 in blue (part of),Flat 2006 Landmark West Tower (twentieth floor flat),07.01.2010 999 years from 1.1.2009,EGL567617,
0,65,09.02.2010 Edged and numbered 4 in blue (part of),Flat 1701 Landmark West Tower (seventeenth floor flat),11.01.2010 999 years from 1.1.2009,EGL567625,
0,66,09.02.2010 Edged and numbered 4 in blue (part of),Flat 2010 Landmark West Tower (twentieth floor flat),07.01.2010 999 years from 1.1.2009,EGL567628,
0,67,09.02.2010 Edged and numbered 4 in blue (part of),Flat 1902 Landmark West Tower (nineteenth floor flat),21.01.2010 999 years from 1.1.2009,EGL567636,
0,68,09.02.2010 Edged and numbered 4 in blue (part of),Flat 1806 Landmark West Tower (eighteenth floor flat),07.01.2010 999 years from 1.1.2009,EGL567635,
0,69,09.02.2010 Edged and numbered 4 in blue (part of),Flat 201 Landmark West Tower (second floor flat),18.12.2009 999 years from 1.1.2009,EGL567645,
0,70,09.02.2010 Edged and numbered 4 in blue (part of),Flat 407 Landmark West Tower (fourth floor flat),23.12.2009 999 years from 1.1.2009,EGL567648,
0,71,09.02.2010 Edged and numbered 4 in blue (part of),Flat 1204 Landmark West Tower (twelfth floor flat),05.01.2010 999 years from 1.1.2009,EGL567650,
0,72,09.02.2010 Edged and numbered 4 in blue (part of),Flat 1909 Landmark West Tower (nineteenth floor flat),08.01.2010 999 years from 1.1.2009,EGL567656,
0,73,10.02.2010 Edged and numbered 4 in blue (part of),Flat 1802 Landmark West Tower (eighteenth floor flat),07.01.2010 999 years from 1.1.2009,EGL567711,
0,74,11.02.2010 Edged and numbered 4 in blue (part of),Flat 1203 Landmark West Tower (twelfth floor flat),11.01.2010 999 years from 1.1.2009,EGL567778,
0,75,12.02.2010 Edged and numbered 4 in blue (part of),Flat 801 Landmark West Tower (eighth floor flat),08.01.2010 999 years from 1.1.2009,EGL567826,
0,76,12.02.2010 Edged and numbered 4 in blue (part of),Flat 811 Landmark West Tower (eighth floor flat),11.01.2010 999 years from 1.1.2009,EGL567827,
0,77,12.02.2010 Edged and numbered 4 in blue (part of),Flat 810 Landmark West Tower (eighth floor flat),11.01.2010 999 years from 1.1.2009,EGL567828,
0,78,15.02.2010 Edged and numbered 4 in blue (part of),Flat 2501 Landmark West Tower (twenty-fifth floor flat),28.01.2010 999 years from 1.1.2009,EGL567880,
0,79,15.02.2010 Edged and numbered 4 in blue (part of ),Flat 509 Landmark West Tower (fifth floor flat),21.01.2010 999 years from 1.1.2009,EGL567889,
0,80,15.02.2010 Edged and numbered 4 in blue (part of),Flat 401 Landmark West Tower (fourth floor flat),29.01.2010 999 years from 1.1.2009,EGL567897,
0,81,16.02.2010 Edged and numbered 4 in blue (part of),Flat 211 Landmark West Tower (second floor flat),22.01.2010 999 years from 1.1.2009,EGL567920,
0,82,16.02.2010 Edged and numbered 4 in blue (part of),Flat 1908 Landmark West Tower (nineteenth floor flat),01.02.2010 999 years from 1.1.2009,EGL567939,
0,83,16.02.2010 Edged and numbered 4 in blue (part of),Flat 2301 Landmark West Tower (twenty third floor flat),18.01.2010 999 years from 1.1.2009,EGL567951,
0,84,16.02.2010 Edged and numbered 18 and 184 in blue on supplementary plan 1,Parking spaces 86 and 87 Landmark West Tower (basement level),18.01.2010 999 years from 1.1.2009,EGL567960,
0,85,17.02.2010 Edged and numbered 4 in blue (part of),Flat 2003 Landmark West Tower (twentieth floor flat),23.12.2009 999 years from 1.1.2009,EGL567980,
0,86,17.02.2010 Edged and numbered 4 in blue (part of),Flat 2002 Landmark West Tower (twentieth floor flat),23.12.2009 999 years from 1.1.2009,EGL567988,
0,87,17.02.2010 Edged and numbered 4 in blue (part of),Flat 2804 Landmark West Tower (twenty eighth floor flat),11.01.2010 999 years from 1.1.2009,EGL568005,
0,88,07.02.2010 Edged and numbered 14 in blue on supplementary plan 1,Parking space 91 Landmark West Tower (basement level),18.01.2010 999 years from 1.1.2009,EGL568010,
0,89,18.02.2010 Edged and numbered 4 in blue (part of),Flat 1209 Landmark West Tower (twelfth floor flat),15.01.2010 999 years from 1.1.2009,EGL568032,
0,90,18.02.2010 Edged and numbered 4 in blue (part of),Flat 1309 Landmark West Tower (thirteenth floor flat),29.01.2010 999 years from 1.1.2009,EGL568048,
0,91,19.02.2010 Edged and numbered 4 in blue (part of),Flat 1808 Landmark West Tower (eighteenth floor flat),22.12.2009 999 years from 1.1.2009,EGL568086,
0,92,19.02.2010 Edged and numbered 15 in blue on supplementary plan 1,Parking Space 22 Landmark West Tower (basement level),22.12.2009 999 years from 1.1.2009,EGL568088,
0,93,22.02.2010 Edged and numbered 4 in blue (part of),Flat 2308 Landmark West Tower (twenty third floor flat),03.02.2010 999 years from 1.1.2009,EGL568130,['NOTE: See entry in the Charges Register relating to a Deed of Rectification dated 26 January 2018']
0,94,22.02.2010 Edged and numbered 4 in blue (part of),Flat 1704 Landmark West Tower (seventeenth floor flat),04.01.2010 999 years from 1.1.2009,EGL568139,
0,95,22.02.2010 Edged and numbered 16 in blue on supplementary plan 1,Parking Space 29 Landmark West Tower (basement level),04.01.2010 999 years from 1.1.2009,EGL568148,
0,96,23.02.2010 Edged and numbered 4 in blue (part of),Flat 605 Landmark West Tower (sixth floor flat),22.01.2010 999 years from 1.1.2009,EGL568191,
0,97,23.02.2010 Edged and numbered 17 in blue on supplementary plan 1,Parking Space 72 Landmark West Tower (basement level),22.01.2010 999 years from 1.1.2009,EGL568195,
0,98,23.02.2010 Edged and numbered 4 in blue (part of),Flat 2701 Landmark West Tower (twenty seventh floor flat),29.01.2010 999 years from 1.1.2009,EGL568209,
0,99,23.02.2010 Edged and numbered 4 in blue (part of),Flat 2710 Landmark West Tower (twenty seventh floor flat),29.01.2010 999 years from 1.1.2009,EGL568211,
0,100,24.02.2010 Edged and numbered 4 in blue (part of),Flat 1904 Landmark West Tower (nineteenth floor flat),12.02.2010 999 years from 1.1.2009,EGL568220,
0,101,24.02.2010 Edged and numbered 4 in blue (part of),Flat 2210 Landmark West Tower (twenty second floor flat),10.02.2010 999 years from 1.1.2009,EGL568222,
0,102,26.02.2010 Edged and numbered 4 in blue (part of),Flat 1705 Landmark West Tower (seventeenth floor flat),22.12.2009 999 years from 1.1.2009,EGL568355,
0,103,26.02.2010 Edged and numbered 4 in blue (part of),Flat 711 Landmark West Tower (seventh floor flat),29.01.2010 999 years from 1.1.2009,EGL568357,
0,104,26.02.2010 Edged and numbered 4 in blue (part of),Flat 1703 Landmark West Tower (seventeenth floor flat),26.01.2010 999 years from 1.1.2009,EGL568359,
0,105,26.02.2010 Edged and numbered 19 in blue on supplementary plan 1,Parking Space 23 Landmark West Tower (basement level),26.01.2010 999 years from 1.1.2009,EGL568360,
0,106,01.03.2010 Edged and numbered 4 in blue (part of),Flat 2604 Landmark West Tower (twenty sixth floor flat),12.02.2010 999 years from 1.1.2009,EGL568242,
0,107,01.03.2010 Edged and numbered 4 in blue (part of),Flat 2407 Landmark West Tower (twenty fourth floor flat),02.02.2010 999 years from 1.1.2009,EGL568433,
0,108,02.03.2010 Edged and numbered 4 in blue (part of),Flat 1008 Landmark West Tower (fourth floor flat),08.12.2009 999 years from 1.1.2009,EGL568450,
0,109,02.03.2010 Edged and numbered 4 in blue (part of),Flat 409 Landmark West Tower (fourth floor flat),04.12.2009 999 years from 1.1.2009,EGL568464,
0,110,02.03.2010 Edged and numbered 4 in blue (part of),Flat 2510 Landmark West Tower (twenty fifth floor flat),09.02.2010 999 years from 1.1.2009,EGL568471,
0,111,02.03.2010 Edged and numbered 20 in blue on supplementary plan 1,Parking Space 96 Landmark West Tower (basement level),09.02.2010 999 years from 1.1.2009,EGL568472,
0,112,02.03.2010 Edged and numbered 4 in blue (part of),Flat 1206 Landmark West Tower (twelfth floor flat),27.11.2009 999 years from 1.1.2009,EGL568495,
0,113,02.03.2010 Edged and numbered 5 in blue on supplementary plan 1,Parking Space 97 Landmark West Tower (basement level),27.11.2009 999 years from 1.1.2009,EGL568496,
0,114,02.03.2010 Edged and numbered 4 in blue (part of),Flat 1406 Landmark West Tower (fourteenth floor flat),08.12.2009 999 years from 1.1.2009,EGL568497,
0,115,03.03.2010 Edged and numbered 4 in blue (part of),Flat 2001 Landmark West Tower (twentieth floor flat),09.02.2010 999 years from 1.1.2009,EGL568589,
0,116,04.03.2010 Edged and numbered 4 in blue (part of),Flat 1107 Landmark West Tower (eleventh floor flat),13.01.2010 999 years from 1.1.2009,EGL568634,
0,117,04.03.2010 Edged and numbered 4 in blue (part of),Flat 2409 Landmark West Tower (twenty-fourth floor flat),05.02.2010 999 years from 1.1.2009,EGL568641,
0,118,04.03.2010 Edged and numbered 4 in blue (part of),Flat 1405 Landmark West Tower (fourteenth floor flat),29.01.2010 999 years from 1.1.2009,EGL568643,
0,119,04.03.2010 Edged and numbered 21 in blue on supplementary plan 1,Parking Space 73 Landmark West Tower (basement level parking space),29.01.2010 999 years from 1.1.2009,EGL568644,
0,120,08.03.2010 Edged and numbered 4 in blue (part of),Flat 1410 Landmark West Tower (fourteenth floor flat),29.01.2010 999 years from 1.1.2009,EGL568726,
0,121,08.03.2010 Edged and numbered 4 in blue (part of),Flat 701 Landmark West Tower (seventh floor flat),22.12.2009 999 years from 1.1.2009,EGL568751,
0,122,09.03.2010 Edged and numbered 4 in blue (part of),Flat 508 Landmark West Tower (fifth floor flat),08.01.2010 999 years from 1.1.2009,EGL568796,
0,123,09.03.2010 Edged and numbered 4 in blue (part of),Flat 1504 Landmark West Tower (fifteenth floor flat),09.02.2010 999 years from 1.1.2009,EGL568806,
0,124,09.03.2010 Edged and numbered 22 in blue on supplementary plan 1,Parking Space 61 Landmark West Tower (basement level parking space),09.02.2010 999 years from 1.1.2009,EGL568807,
0,125,11.03.2010 Edged and numbered 4 in blue (part of),Flat 411 Landmark West Tower (fourth floor flat),18.02.2010 999 years from 1.1.2009,EGL568955,
0,126,11.03.2010 Edged and numbered 4 in blue (part of),Flat 809 Landmark West Tower (eighth floor flat),16.02.2010 999 years from 1.1.2009,EGL568956,
0,127,11.03.2010 Edged and numbered 4 in blue (part of),Flat 2303 Landmark West Tower (twenty-third floor flat),29.01.2010 999 years from 1.1.2009,EGL568957,
0,128,11.03.2010 Edged and numbered 4 in blue (part of),Flat 2610 Landmark West Tower (twenty-sixth floor flat),19.02.2010 999 years from 1.1.2009,EGL568958,
0,129,11.03.2010 Edged and numbered 23 in blue on supplementary plan 1,Parking Space 6 Landmark West Tower (basement level),19.02.2010 999 years from 1.1.2009,EGL568959,
0,130,12.03.2010 Edged and numbered 5 in blue (part of),Apartments 1-54 Whitby House,17.02.2010 125 years from 1.1.2009,EGL569033,
0,131,15.03.2010 Edged and numbered 24 in blue on supplementary plan 1,Parking Space 90 Landmark West Tower (basement level),08.02.2010 999 years from 1.1.2009,EGL569065,
0,132,15.03.2010 Edged and numbered 4 in blue (part of),Flat 1402 Landmark West Tower (fourteenth floor flat),19.02.2010 999 years from 1.1.2009,EGL569080,
0,133,15.03.2010 Edged and numbered 4 in blue (part of),Flat 2601 Landmark West Tower (twenty-sixth floor flat),18.02.2010 999 years from 1.1.2009,EGL569093,
0,134,15.03.2010 Edged and numbered 25 in blue on supplementary plan 1,Parking Space 75 Landmark West Tower (basement level parking space),18.02.2010 999 years from 1.1.2009,EGL569094,['NOTE: See entry in the Charges Register relating to a Deed of Variation dated 12 October 2015.']
0,135,16.03.2010 Edged and numbered 4 in blue (part of),Flat 1307 Landmark West Tower (thirteenth floor flat),11.02.2010 999 years from 1.1.2009,EGL569150,
0,136,17.03.2010 Edged and numbered 4 in blue (part of),Flat 1404 Landmark West Tower (fourteenth floor flat),08.02.2010 999 years from 1.1.2009,EGL569190,
0,137,17.03.2010 Edged and numbered 4 in blue (part of),Flat 1009 Landmark West Tower (tenth floor flat),19.02.2010 999 years from 1.1.2009,EGL569191,
0,138,17.03.2010 Edged and numbered 4 in blue (part of),Flat 2105 Landmark West Tower (twenty-first floor flat),08.02.2010 999 years from 1.1.2009,EGL569201,
0,139,17.03.2010 Edged and numbered 26 in blue on supplementary plan 1,Parking Space 65 Landmark West Tower (basement level parking space),08.02.2010 999 years from 1.1.2009,EGL569203,
0,140,17.03.2010 Edged and numbered 4 in blue (part of),Flat 2110 Landmark West Tower (twenty-first floor flat),09.02.2010 999 years from 1.1.2009,EGL569211,
0,141,17.03.2010 Edged and numbered 27 in blue on supplementary plan 1,Parking Space 88 Landmark West Tower (basement level parking space),09.02.2010 999 years from 1.1.2009,EGL569212,
0,142,17.03.2010 Edged and numbered 4 in blue (part of),Flat 2605 Landmark West Tower (twenty-sixth floor flat),09.02.2010 999 years from 1.1.2009,EGL569213,
0,143,17.03.2010 Edged and numbered 28 in blue on supplementary plan 1,Parking Space 64 Landmark West Tower (basement level parking space),09.03.2010 999 years from 1.1.2009,EGL569214,
0,144,19.03.2010 Edged and numbered 4 in blue (part of),Flat 709 Landmark West Tower (seventh floor flat),05.02.2010 999 years from 1.1.2009,EGL569303,
0,145,22.03.2010 Edged and numbered 4 in blue (part of),Flat 503 Landmark West Tower (fifth floor flat),08.02.2010 999 years from 1.1.2009,EGL569349,
0,146,22.03.2010 Edged and numbered 4 in blue (part of),Flat 1809 Landmark West Tower (eighteenth floor flat),24.02.2010 999 years from 1.1.2009,EGL569350,
0,147,23.03.2010 Edged and numbered 4 in blue (part of),Flat 2404 Landmark West Tower (twenty-fourth floor flat),16.02.2010 999 years from 1.1.2009,EGL569399,
0,148,23.03.2010 Edged and numbered 4 in blue (part of),Flat 902 Landmark West Tower (ninth floor flat),23.03.2010 999 years from 1.1.2009,EGL569401,
0,149,23.03.2010 Edged and numbered 4 in blue (part of),Flat 909 Landmark West Tower (ninth floor flat),24.02.2010 999 years from 1.1.2009,EGL569406,
0,150,26.03.2010 Edged and numbered 4 in blue (part of),Flat 2305 Landmark West Tower (twenty-third floor flat),04.03.2010 999 years from 1.1.2009,EGL569609,
0,151,26.03.2010 Edged and numbered 29 in blue on supplementary plan 1,Parking space 10 Landmark West Tower (basement level),04.03.2010 999 years from 1.1.2009,EGL569610,
0,152,29.03.2010 Edged and numbered 4 in blue (part of),Flat 1208 Landmark West Tower (twelfth floor flat),25.02.2010 999 years from 1.1.2009,EGL569677,
0,153,30.03.2010 Edged and numbered 4 in blue (part of),Flat 911 Landmark West Tower (ninth floor flat),01.03.2010 999 years from 1.1.2009,EGL569723,
0,154,30.03.2010 Edged and numbered 4 in blue (part of),Flat 901 Landmark West Tower (ninth floor flat),01.03.2010 999 years from 1.1.2009,EGL569736,
0,155,30.03.2010 Edged and numbered 4 in blue (part of),Flat 2204 Landmark West Tower (twenty-second floor flat),19.02.2010 999 years from 1.1.2009,EGL569738,
0,156,30.03.2010 Edged and numbered 4 in blue (part of),Flat 1601 Landmark West Tower (sixteenth floor flat),09.12.2009 999 years from 1.1.2009,EGL569741,
0,157,30.03.2010 Edged and numbered 30 in blue on supplementary plan 1,Parking space 60 Landmark West Tower (basement level),09.12.2009 999 years from 1.1.2009,EGL569744,
0,158,30.03.2010 Edged and numbered 4 in blue (part of),Flat 1306 Landmark West Tower (thirteenth floor flat),25.02.2010 999 years from 1.1.2009,EGL569761,
0,159,01.04.2010 Edged and numbered 4 in blue (part of),Flat 1407 Landmark West Tower (fourteenth floor flat),12.03.2010 999 years from 1.1.2009,EGL569852,
0,160,01.04.2010 Edged and numbered 4 in blue (part of),Flat 707 Landmark West Tower (seventh floor flat),05.03.2010 999 years from 1.1.2009,EGL569853,
0,161,01.04.2010 Edged and numbered 4 in blue (part of),Flat 1411 Landmark West Tower (fourteenth floor flat),05.03.2010 999 years from 1.1.2009,EGL569854,
0,162,07.04.2010 Edged and numbered 4 in blue (part of),Flat 209 Landmark West Tower (second floor flat),24.03.2010 999 years from 1.1.2009,EGL570017,
0,163,08.04.2010 Edged and numbered 4 in blue (part of),Flat 1003 Landmark West Tower (tenth floor flat),16.03.2010 999 years from 1.1.2009,EGL570058,
0,164,08.04.2010 Edged and numbered 4 in blue (part of),Flat 904 Landmark West Tower (ninth floor flat),05.03.2010 999 years from 1.1.2009,EGL570090,
0,165,09.04.2010 Edged and numbered 4 in blue (part of),Flat 2106 Landmark West Tower (twenty first floor flat),26.02.2010 999 years from 1.1.2009,EGL570142,
0,166,09.04.2010 Edged and numbered 1 in blue on supplementary plan 1,Parking space 74 Landmark West Tower (basement level),26.02.2010 999 years from 1.1.2009,EGL570143,
0,167,12.04.2010 Edged and numbered 4 in blue (part of ),Flat 2805 Landmark West Tower (twenty eighth floor flat),12.03.2010 999 years from 1.1.2009,EGL570171,
0,168,12.04.2010 Edged and numbered 2 in blue on supplementary plan 1,Parking space 76 (basement level),12.03.2010 999 years from 1.1.2009,EGL570173,
0,169,12.04.2010 Edged and numbered 4 in blue (part of),Flat 908 Landmark West Tower (ninth floor flat),01.04.2010 999 years from 1.1.2009,EGL570194,
0,170,13.04.2010 Edged and numbered 4 in blue (part of),Flat 1104 Landmark West Tower (eleventh floor flat),16.02.2010 999 years from 1.1.2009,EGL570264,
0,171,13.04.2010 Edged and numbered 4 in blue (part of),Flat 1907 Landmark West Tower (nineteenth floor flat),10.02.2010 999 years from 1.1.2009,EGL570265,
0,172,14.04.2010 Edged and numbered 4 in blue (part of),Flat 1007 Landmark West Tower (tenth floor flat),16.03.2010 999 years from 1.1.2009,EGL570322,
0,173,15.04.2010 Edged and numbered 4 in blue (part of),Flat 501 Landmark West Tower (fifth floor flat),24.02.2010 999 years from 1.1.2009,EGL570331,
0,174,15.04.2010 Edged and numbered 4 in blue (part of),Flat 1901 Landmark West Tower (nineteenth floor flat),16.02.2010 999 years from 1.1.2009,EGL570333,
0,175,15.04.2010 Edged and numbered 4 in blue (part of),Flat 1905 Landmark West Tower (nineteenth floor flat),16.02.2010 999 years from 1.1.2009,EGL570335,
